model_code,my,model_desc,section,type,program_id,program_name,fico_min,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash,end_date
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,48,48,,,51,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,24,24,,,71,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,36,36,,,64,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,39,39,,,60,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,48,48,,,51,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,24,24,,,71,0.00213,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,36,36,,,64,0.00241,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,39,39,,,60,0.00241,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,48,48,,,51,0.00291,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,24,24,,,73,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,36,36,,,66,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,39,39,,,62,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,48,48,,,53,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,24,24,,,73,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,36,36,,,66,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,39,39,,,62,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,48,48,,,53,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,24,24,,,73,0.00213,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,36,36,,,66,0.00241,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,39,39,,,62,0.00241,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,48,48,,,53,0.00291,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,24,24,,,74,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,36,36,,,67,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,39,39,,,63,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,48,48,,,54,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,24,24,,,74,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,36,36,,,67,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,39,39,,,63,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,48,48,,,54,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,24,24,,,74,0.00213,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,36,36,,,67,0.00241,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,39,39,,,63,0.00241,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,48,48,,,54,0.00291,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,24,24,,,75,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,36,36,,,68,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,39,39,,,64,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,48,48,,,55,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,24,24,,,75,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,36,36,,,68,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,39,39,,,64,0.00223,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,48,48,,,55,0.00271,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,24,24,,,75,0.00213,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,36,36,,,68,0.00241,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,39,39,,,64,0.00241,0,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,48,48,,,55,0.00291,500,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,36,36,,,54,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,39,39,,,51,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,48,48,,,43,0.00272,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,36,36,,,54,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,39,39,,,51,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,48,48,,,43,0.00306,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,36,36,,,54,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,39,39,,,51,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,48,48,,,43,0.00326,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,36,36,,,56,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,39,39,,,53,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,48,48,,,45,0.00272,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,36,36,,,56,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,39,39,,,53,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,48,48,,,45,0.00306,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,36,36,,,56,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,39,39,,,53,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,48,48,,,45,0.00326,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,36,36,,,57,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,39,39,,,54,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,48,48,,,46,0.00272,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,36,36,,,57,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,39,39,,,54,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,48,48,,,46,0.00306,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,36,36,,,57,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,39,39,,,54,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,48,48,,,46,0.00326,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,36,36,,,58,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,39,39,,,55,0.00227,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,48,48,,,47,0.00272,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,36,36,,,58,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,39,39,,,55,0.00263,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,48,48,,,47,0.00306,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,36,36,,,58,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,39,39,,,55,0.00281,0,12/31/2025
4N4A3FT5,2025,ELANTRA N M/T,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,48,48,,,47,0.00326,0,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,24,24,,,72,0.00198,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,36,36,,,61,0.00228,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,39,39,,,61,0.00224,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,48,48,,,53,0.00266,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,24,24,,,72,0.00198,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,36,36,,,61,0.00228,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,39,39,,,61,0.00224,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,15000,48,48,,,53,0.00266,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,24,24,,,72,0.00212,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,36,36,,,61,0.00246,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,39,39,,,61,0.00242,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,15000,48,48,,,53,0.00286,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,24,24,,,74,0.00198,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,36,36,,,63,0.00228,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,39,39,,,63,0.00224,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,12000,48,48,,,55,0.00266,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,24,24,,,74,0.00198,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,36,36,,,63,0.00228,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,39,39,,,63,0.00224,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,12000,48,48,,,55,0.00266,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,24,24,,,74,0.00212,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,36,36,,,63,0.00246,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,39,39,,,63,0.00242,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,12000,48,48,,,55,0.00286,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,24,24,,,75,0.00198,500,12/31/2025
