dealer,model_code,model_desc,purchase_date,sales_type,todays_date,section,type,program_id,program_name,end_date,rdr_deadline,claim_cutoff_date,amount_min,amount_max,package,fico_min,fico_max,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,640,659,,37,48,10.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,640,659,,49,60,10.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,640,659,,61,72,11.29,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,620,639,,24,24,10.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,620,639,,25,36,10.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,620,639,,37,48,10.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,620,639,,49,60,10.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,620,639,,61,72,11.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,580,619,,24,24,11.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,580,619,,25,36,11.49,1000,,,
