model_code,model_desc,section,type,program_id,program_name,fico_min,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,680,,73,84,8.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,660,,24,24,6.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,660,,25,36,6.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,660,,37,48,6.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,660,,49,60,7.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,660,,61,72,8.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,640,,24,24,7.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,640,,25,36,7.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,640,,37,48,7.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,640,,49,60,8.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,640,,61,72,9.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,620,,24,24,8.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,620,,25,36,8.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,620,,37,48,8.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,620,,49,60,9.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,620,,61,72,10.49,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,580,,24,24,10.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,580,,25,36,10.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,580,,37,48,10.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,580,,49,60,10.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,APR Program,Low APR,C2512RLA04,202512 H700 MS,580,,61,72,11.99,500,,,
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,15000,24,24,,,65,0.00132,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,15000,36,36,,,59,0.00213,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,15000,39,39,,,54,0.00215,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,15000,48,48,,,46,0.00271,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,15000,24,24,,,65,0.00132,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,15000,36,36,,,59,0.00213,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,15000,39,39,,,54,0.00215,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,15000,48,48,,,46,0.00271,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,15000,24,24,,,65,0.00146,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,15000,36,36,,,59,0.00231,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,15000,39,39,,,54,0.00233,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,15000,48,48,,,46,0.00291,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,15000,24,24,,,65,0.0016,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,15000,36,36,,,59,0.00245,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,15000,39,39,,,54,0.00247,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,15000,48,48,,,46,0.00308,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,15000,24,24,,,65,0.00172,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,15000,36,36,,,59,0.00265,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,15000,39,39,,,54,0.00267,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,15000,48,48,,,46,0.00333,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,15000,24,24,,,65,0.00189,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,15000,36,36,,,59,0.00278,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,15000,39,39,,,54,0.0028,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,15000,48,48,,,46,0.00346,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,15000,24,24,,,65,0.00216,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,15000,36,36,,,59,0.00287,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,15000,39,39,,,54,0.0028,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,15000,48,48,,,46,0.00358,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,15000,24,24,,,65,0.00362,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,15000,36,36,,,59,0.00354,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,15000,39,39,,,54,0.00354,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,15000,48,48,,,46,0.00413,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,12000,24,24,,,67,0.00132,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,12000,36,36,,,61,0.00213,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,12000,39,39,,,56,0.00215,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,12000,48,48,,,48,0.00271,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,12000,24,24,,,67,0.00132,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,12000,36,36,,,61,0.00213,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,12000,39,39,,,56,0.00215,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,12000,48,48,,,48,0.00271,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,12000,24,24,,,67,0.00146,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,12000,36,36,,,61,0.00231,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,12000,39,39,,,56,0.00233,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,12000,48,48,,,48,0.00291,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,12000,24,24,,,67,0.0016,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,12000,36,36,,,61,0.00245,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,12000,39,39,,,56,0.00247,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,12000,48,48,,,48,0.00308,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,12000,24,24,,,67,0.00172,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,12000,36,36,,,61,0.00265,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,12000,39,39,,,56,0.00267,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,12000,48,48,,,48,0.00333,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,12000,24,24,,,67,0.00189,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,12000,36,36,,,61,0.00278,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,12000,39,39,,,56,0.0028,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,12000,48,48,,,48,0.00346,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,12000,24,24,,,67,0.00216,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,12000,36,36,,,61,0.00287,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,12000,39,39,,,56,0.0028,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,12000,48,48,,,48,0.00358,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,12000,24,24,,,67,0.00362,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,12000,36,36,,,61,0.00354,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,12000,39,39,,,56,0.00354,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,12000,48,48,,,48,0.00413,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,10000,24,24,,,68,0.00132,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,10000,36,36,,,62,0.00213,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,10000,39,39,,,57,0.00215,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,10000,48,48,,,49,0.00271,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,10000,24,24,,,68,0.00132,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,10000,36,36,,,62,0.00213,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,10000,39,39,,,57,0.00215,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,720,10000,48,48,,,49,0.00271,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,10000,24,24,,,68,0.00146,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,10000,36,36,,,62,0.00231,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,10000,39,39,,,57,0.00233,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,700,10000,48,48,,,49,0.00291,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,10000,24,24,,,68,0.0016,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,10000,36,36,,,62,0.00245,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,10000,39,39,,,57,0.00247,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,680,10000,48,48,,,49,0.00308,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,10000,24,24,,,68,0.00172,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,10000,36,36,,,62,0.00265,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,10000,39,39,,,57,0.00267,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,660,10000,48,48,,,49,0.00333,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,10000,24,24,,,68,0.00189,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,10000,36,36,,,62,0.00278,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,10000,39,39,,,57,0.0028,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,640,10000,48,48,,,49,0.00346,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,10000,24,24,,,68,0.00216,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,10000,36,36,,,62,0.00287,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,10000,39,39,,,57,0.0028,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,620,10000,48,48,,,49,0.00358,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,10000,24,24,,,68,0.00362,0
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,10000,36,36,,,62,0.00354,500
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,10000,39,39,,,57,0.00354,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,580,10000,48,48,,,49,0.00413,750
494J2F4S,2025 ELANTRA LIMITED,Lease Program,Special Lease,C2512LLE43,202512 H202 MS,740,7500,24,24,,,69,0.00132,0
